source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
"A pulpit (from Latin pulpitum ""scaffold"", ""platform"", ""stage"") is a small elevated platform from which a member of the clergy delivers a sermon in a house of worship.","Eine Kanzel ist eine kleine erhöhte Plattform, aus der ein Mitglied des Klerus eine Predigt in einem Haus der Anbetung. Es ist aus einem lateinischen Wort ""Pulputim"", das Gerüst, Plattform oder Bühne bedeutet gebildet.","教堂是一个小的、高楼的平台,神职人员从这个平台上讲道,在礼拜堂里讲道,这个词来自拉丁文的雕塑“scafffold”、“平台”、“舞台”和“舞台”。","The church is a small, high-rise platform from which clerics speak, and in the chapel, the word is derived from the Latin sculpture “scaffford”, “platform”, “stage” and “stage”.","A pulpit is a small elevated platform from which a member of the clergy makes a sermon in a house of worship. It is formed from a Latin word ""Pulputim"", which means scaffolding, platform or stage."
Bedroom bondage games often constitute foreplay.,Bondage ist manchmal ein Vorspiel.,债役游戏往往导致前戏。,Debt bondage often leads to foreplay.,Bondage is sometimes a foreplay.
"On July 17 2006, the Keck-10m II telescope and its Laser guide star Adaptive Optics (AO) system indicated a bilobated shape for Hektor.",Am 17. Juli 2006 entdeckte das Keck-10m II-Teleskop und sein Laserguide-Stern Adaptive Optics (AO)-System eine bilobierte Form für Hektor.,"Keck-10m II望远镜利用其激光导星可调适光学,于2006年7月17日为Hektor找到了一个带有两叶叶的形状。","The Keck-10m II telescope, which adapts to optically using its laser conductor, found a shape with two leaves for Hektor on 17 July 2006.","On July 17, 2006, the Keck-10m II telescope and its laser guide star Adaptive Optics (AO) system discovered a bilobated form for hector."
"Legality Aid in dying is legal in several jurisdictions, including Belgium, the Netherlands, Switzerland and three American states.","Die Sterbehilfe ist in mehreren Bereichen legal, darunter Belgien, die Niederlande, die Schweiz und drei amerikanische Staaten.","在比利时、荷兰、瑞士和三个美国州,死亡援助是合法的。","Death assistance is legal in Belgium, the Netherlands, Switzerland and three states of the United States.","The euthanasia is legal in several areas, including Belgium, the Netherlands, Switzerland and three American states."
"The Feast of the Sacred Heart has been a Solemnity in the Roman Catholic liturgical calendar since 1856, and is celebrated 19 days after Pentecost.",Das Fest des Heiligen Herzens ist seit 1856 im katholischen Kalender. Es wird 19 Tage nach Pfingsten gefeiert.,"自1856年以来,神圣之心之节一直是罗马天主教宗教仪式历程的庄严仪式,在五旬节19天后庆祝。","Since 1856, Holy Heart Day has been a solemn ceremony in the course of Roman Catholic religious rituals, celebrated 19 days after Pentecostal.",The Feast of the Holy Heart has been in the Catholic calendar since 1856. It is celebrated 19 days after Pentecost.
In ancient times the sea was the birthplace of two ancient civilizations the Minoans of Crete and the Mycenean Civilization of the Peloponnese.,"In der Antike war das Meer der Geburtsort von zwei alten Kulturen, die Minoaner von Kreta und die mykenische Kultur der Peloponnes.",这海是两个古老文明的起点 即米诺亚文明和弥赛亚文明。,"The sea is the starting point for two ancient civilizations, the Minoa and the Messiah.","In ancient times, the sea was the birthplace of two ancient cultures, the Minoans of Crete and the Mycenaean culture of the Peloponnese."
"To remain competitive, Encyclopædia Britannica, Inc. has stressed the good reputation of the Britannica, reduced its price and production costs, and developed electronic versions on CD-ROM, DVD, and the World Wide Web.","Encyclopædia Britannica, Inc. betont den guten Ruf der Britannica. Sie reduzierten ihre Preise und Produktionskosten und entwickelten elektronische Versionen, um wettbewerbsfähig zu bleiben.","为了保持竞争力,《百科全书》百科全书英国公司宣传其声誉良好,降低了价格和生产成本,并制作了光盘、DVD和万维网版本。","In order to remain competitive, Encyclopaedia British companies promoted their reputation, reduced prices and production costs, and produced CD-ROMs, DVDs and World Wide Web versions.","Encyclopædia Britannica, Inc. emphasizes the good reputation of Britannica. They reduced their prices and production costs and developed electronic versions to remain competitive."
As a result of this Colsefini was moved to backing vocals and percussion.,Colsefini wurde ein Backup für Gesang und Schlagzeug.,Colsefini成为了声音和冲击的备份。,Colsefini became a backup for sound and shock.,Colsefini was a backup for vocals and drums.
"The convention also sets out which people do not qualify as refugees, such as war criminals.","Die Konvention legt auch fest, welche Menschen sich nicht als Flüchtlinge qualifizieren. Kriegsverbrecher wären ein Beispiel für diejenigen, die sich nicht qualifizieren.","公约还界定了哪些人,如战犯等,不具有难民资格。","The Convention also defines who, such as war criminals, does not qualify as a refugee.",The convention also defines which people do not qualify as refugees. War criminals would be an example for those who do not qualify.
She was born in Norwich and attended Norwich High School for Girls before studying music at Cambridge University.,"Sie wurde in Norwich geboren und besuchte die Norwich High School for Girls, bevor sie Musik an der Cambridge University studierte.","在剑桥大学学习音乐之前,她出生在诺威奇,在诺威奇女子中学上学。","Prior to her music studies at Cambridge University, she was born in Norwich and attended Norwich Girls'Secondary School.",She was born in Norwich and attended Norwich High School for Girls before studying music at Cambridge University.
"This flag was the same, except the golden stripe had a human stick figure, a kanaga, in black, with arms raised to the sky.",Diese Fahne hatte einige Unterschiede. Diese wurden im goldenen Streifen gesehen. Sie hatte eine menschliche Stockfigur. Es war eine Kanaga in schwarz. Ihre Arme wurden zum Himmel erhoben.,"除了金色条纹有棍形和手持天上的卡纳加形外,这面旗帜是一样的。","The flag is the same, except for the golden stripes, which are in the shape of sticks, and the hands on the sky, which are in the shape of Canaga.",This flag had some differences. These were seen in the golden stripe. She had a human stick figure. It was a kanaga in black. Her arms were raised to heaven.
He led a furious comeback as he completed 15 passes out of 20 attempted for 258 yds and 2 TDs.,"Sein starkes Comeback bestand darin, 15 Pässe mit 2 Touchdowns zu beenden.","在20张通行证中,他完成了15张通行证。","Of the 20 grounds passes, he completed 15.",His strong comeback was to finish 15 passes with 2 touchdowns.
"Very large corporations such as GE, Toyota and Sharp, and investment firms such as Goldman Sachs are making multi-billion dollar investments in clean technology.","Sehr große Unternehmen machen Multi-Milliarden-Dollar-Investitionen in saubere Technologie. Beispiele für Unternehmen sind GE, Toyota, Sharp und Goldman Sachs.",GE、丰田和夏普等大型公司以及包括高盛公司在内的投资公司正在清洁技术方面投资数十亿美元。,"Large companies such as GE, Toyota and Sharp, as well as investment companies, including Goldman Sachs, are investing billions of dollars in clean technologies.","Very large companies make multi-billion dollar investments in clean technology. Examples of companies are GE, Toyota, Sharp and Goldman Sachs."
The spot was observed at different times with different sizes and shapes.,Der Fleck wurde zu verschiedenen Zeiten gesehen. Er hatte verschiedene Größen und Formen.,在不同的时间、大小和形状观察到了该地点。,"The location was observed at different times, sizes and shapes.",The stain was seen at different times. It had different sizes and shapes.
Sadomasochism 12% of females and 22% of males reported having an erotic response to a sadomasochistic story.,12% der Frauen und 22% der Männer berichteten sexuell entstanden zu einer sadomasochistischen Geschichte.,大约12%的女性和22%的男性对一个将疼痛用于娱乐的故事有性欲反应。,About 12 per cent of women and 22 per cent of men responded sexually to a story about the use of pain for entertainment.,12% of women and 22% of men reported sexually resulted in a sadomasochistic story.
Hertzprung-Russell diagrams are not pictures or maps of the locations of the stars.,Hertzsprung-Russell-Diagramme sind keine Bilder oder Karten von Sternlagen.,Hertzprung-Russell图表不是星星的图片或地图。,The Hertzprung-Russell chart is not a picture or map of the stars.,Hertzsprung-Russell diagrams are not images or maps of star locations.
The early Spartans believed helmets were unnecessary and boxing prepared them for the inevitable blows to the head they would receive in battle.,"Die frühen Spartaner benutzten keine Helme und dachten, dass Boxen sie für die Hits auf den Kopf vorbereitete, die sie in der Schlacht bekommen würden.",早期的斯巴达人认为头盔是不必要的 他们认为拳击使他们准备好 面对在战斗中 不可避免的头部打击,"The early Spartans thought the helmet was unnecessary, and they thought that boxing made them ready to face the inevitable head blow in the battle.",The early Spartans did not use helmets and thought that boxing prepared them for the hits on the head they would get in battle.
"Visitors come to see the gardens in the palace grounds, the exotic birds which roam freely in the grounds, Moot Hill (which is in the grounds), and the palace.","Besucher kommen, um die Gärten auf dem Schlossgelände und die exotischen Vögel zu sehen, die dort frei umherstreifen. Sie besuchen auch den Moot Hill (der sich auf dem Gelände befindet) und den Palast.","访客来看宫殿里的花园, 自由游荡的外国鸟, 摩托山(在地里), 和宫殿。","Visitors came to see the garden in the palace, the free-walking foreign birds, the Motor Hills, and the palace.",Visitors come to see the gardens on the castle grounds and the exotic birds that roam around there. They also visit Moot Hill (which is located on the grounds) and the palace.
"Its authorship is generally attributed to a person named Obadiah, which means “servant (or worshipper) of the Lord ”.",Autorschaft wird einer Person namens Obadjah zugeschrieben. Es bedeutet Diener oder Anbeter des Herrn.,"其作者被指名Obadiah,意思是“主的仆人”。","His author was named Obadiah, meaning “the servant of the Lord”.",Authorship is attributed to a person named Obadjah. It means servant or worshiper of the Lord.
"Gard is one of the original 83 departments created during the French Revolution on March 4, 1790.",Gard ist eine der ursprünglichen Abteilungen während der Französischen Revolution im Jahre 1790.,Gard是1790年法国革命期间最初设立的部门之一。,Gard was one of the first departments established during the French Revolution in 1790.,Gard is one of the original departments during the French Revolution in 1790.
"Grime is a genre of urban music which first emerged in East London, England in the early 2000s, primarily a development of UK garage, dancehall, and hip hop.","Grime id eine Art Urban Musik, die in den frühen 2000er Jahren in East London, England als eine Art britische Garage, Tanzhalle und Hip Hop entstanden.","Grime是一种城市音乐,最早于2000年代初开始于英格兰东伦敦, 主要是英国车库、舞厅和嘻哈的成长。","Grime is a city music that began in the early 2000s in East London, England, mainly growing up in British garages, dance halls and hip-hop.","Grime id a kind of urban music that emerged in the early 2000s in East London, England as a kind of British garage, dance hall and hip hop."
"He chose as his episcopal motto (""Obedience and Peace""), which became his guiding motto.","""Gehorsam und Frieden"" wurde zu seinem Leitmotto.","圣公会的座右铭是“爱与和平”,这成了他的指导座右铭。","The Anglican motto was “Love and Peace”, which became his guiding motto.","""Obedience and Peace"" became his motto."
A free translation of all but one chapter was produced by Arthur Waley.,Arthur Waley machte eine freie Übersetzung aller außer einem Kapitel.,"Arthur Waley做了免费翻译,除一章外,全部翻译在内。","Arthur Waley translated it free of charge, with the exception of a chapter.",Arthur Waley made a free translation of all but one chapter.
"Their name derives from the name of the mountainous region in the north of Algeria, which they traditionally inhabit.","Ihr Name stammt aus der bergigen Region Algeriens, in der sie traditionell leben.",他们的名字来自他们传统上居住的阿尔及利亚山区。,Their names come from the Algerian mountains they have traditionally lived in.,"Their name comes from the mountainous region of Algeria, in which they traditionally live."
Hilari Bell (born in 1958) is an American fantasy author.,"Hilara Bell ist eine amerikanische Fantasy-Autorin, die 1958 geboren wurde.",美国幻想作家希拉里·贝尔生于1958年,American fantasy writer Hilary Bell was born in 1958.,Hilara Bell is an American fantasy writer who was born in 1958.
"Currently Secretary of State for Culture, Media and Sport and Minister for the South West, he was one of the first openly gay MPs.","Nun war er als Staatssekretär für Kultur, Medien und Sport sowie als Minister für den Südwesten einer der ersten öffentlich schwulen Abgeordneten.",现任文化、媒体和体育国务秘书和西南部长是首批公开的同性恋议员之一。,"The current Secretary of State for Culture, Media and Sports and the Minister for the Southwest were among the first public homosexual parliamentarians.","Now he was one of the first publicly gay deputies as Secretary of State for Culture, Media and Sport and Minister for the Southwest."
"However, the Lake Trio come back to nullify the legendary's power and break the Red Chain, interrupting the ritual.","Das Lake Trio kehrt zurück, um die Macht des legendären zu tilgen, die Rote Kette zu brechen und das Ritual zu blockieren.",三合会回来取消传奇人物的力量 打破红链,The Triad came back to remove the power of legends and break the red chain.,"The Lake Trio returns to wipe out the power of the legendary, break the Red Chain and block the ritual."
"Sir Donald Bradman AC, Australian cricketer universally regarded as the greatest batsman of all time was born in Cootamundra.","Sir Donald Bradman AC, der australische Cricketspieler auf der ganzen Welt als der größte Fledermäuse aller Zeiten angesehen, wurde in Cootamundra geboren.","澳大利亚板球运动员唐纳德·布拉德曼·AC爵士被认为是历史上最伟大的蝙蝠侠,出生在科塔蒙德拉。","The Australian cricket player, Sir Donald Bradman AC, is considered to be the greatest Batman in history, born in Cotamundla.","Sir Donald Bradman AC, the Australian cricket player all over the world considered the greatest bat of all time, was born in Cootamundra."
This structure is still used for determining the teams in the playoffs in the American Hockey League.,Diese Struktur wird immer noch für die Auswahl der Playoff-Teams in der American Hockey League verwendet.,这仍然用于选择美国曲棍球联盟季后赛的赛队。,This is still used to select the team for the American hockey league after season.,This structure is still used for selecting the playoff teams in the American Hockey League.
"However, when the war ended he became particularly concerned about the further development and possible use of atomic weapons and with the destruction inflicted on the world by war in general.",Er machte sich Sorgen um die weitere Entwicklung und den möglichen Einsatz von Atomwaffen nach dem Krieg. Er war auch besorgt über die Zerstörung der Welt durch Krieg im Allgemeinen zugefügt.,"当战争结束时,他开始担心发展和可能使用原子武器,担心它将造成的破坏。","When the war ended, he began to worry about the development and possible use of atomic weapons and about the damage it would cause.",He was concerned about the further development and possible use of nuclear weapons after the war. He was also concerned about the destruction of the world by war in general.
"Therefore, beliefs are not totally consistent from one Baptist church to another, especially beliefs that may be considered minor.",Jede Baptistenkirche hat unterschiedliche Glaubensansichten.,"因此,从一个浸礼会教会到另一个浸礼会教会,信仰并不完全一致,对次要信仰来说尤其如此。","Thus, from one Baptist Church to another, beliefs are not fully uniform, especially for secondary faiths.",Each Baptist church has different beliefs.
From 1918 to 1920 the province was under the administration of the Democratic Republic of Armenia as the Vanand province (with the city of Kars as its capital).,Die Provinz Vanand war von 1918 bis 1920 unter der Verwaltung der Demokratischen Republik Armenien. Kars war ihre Hauptstadt.,"1918年至1920年,该省和瓦南德省由亚美尼亚民主共和国管理。","From 1918 to 1920, the province and the province of Vanand were administered by the Democratic Republic of Armenia.",The province of Vanand was under the administration of the Democratic Republic of Armenia from 1918 to 1920. Kars was its capital.
"It debuted at # 20 on VH1's VH1 Top 20 Video Countdown on June 28, 2008.",Juni 2008 auf VH1's VH1 Top 20 Video Countdown veröffentlicht.,于2008年6月28日首次出现在VH1前20名视频倒计时的VH1第20号。,"VH1 No. 20, which first appeared in the countdown of the top 20 VH1 videos on 28 June 2008.","It was released on June 1, 2008 on VH1's VH1 Top 20 Video Countdown."
Queen were an English rock band.,Queen war eine Rockband.,女王是英国摇滚乐队,The Queen is a British rock band.,Queen was a rock band.
"The Village Phone (Polli Phone) project of GP has brought cell-phone ownership to 260,000 rural poor in over 50,000 villages since the beginning of the project in March 1997.",Seit dem Start des Projekts im März 1997 hat das GP-Projekt Village Phone (Polli Phone) das Mobiltelefon in über 50.000 Dörfern auf 260.000 ländliche Arme gebracht.,乡村电话项目为50 000个村庄的260 000名穷人带来了手机。,"The village telephone project brought mobile phones to 260,000 poor people in 50,000 villages.","Since the start of the project in March 1997, the GP project Village Phone (Polli Phone) has brought the mobile phone to 260,000 rural arms in over 50,000 villages."
Linux distributions began to appear very soon after the Linux kernel was first used by individuals other than the original Linux programmers.,Linux-Distributionen erschienen kurz nachdem der Linux-Kernel zuerst von anderen Leuten als den ursprünglichen Linux-Programmierern verwendet wurde.,Linux分发器在Linux内核首次被除原始Linux程序员以外的人使用后不久就开始出现。,The Linux dispenser began to appear shortly after the kernel was first used by someone other than the original Linux programmer.,Linux distributions appeared shortly after the Linux kernel was first used by people other than the original Linux programmers.
"In 1970, Eddy Merckx rode himself to the brink of collapse while winning the stage.","Im Jahr 1970 schubste sich Eddy Merckx sehr hart, als er die Bühne gewann.","1970年,埃迪默克思在赢得舞台时,非常努力地自投罗网。他几乎崩溃了。","In 1970, when Edimeks won the stage, he tried very hard to get himself into the net. He almost collapsed.",In 1970 Eddy Merckx pushed himself very hard when he won the stage.
It has a depth of approximately 18 inches (46 cm) on the sides and 30 inches (76 cm) in the center.,Es ist etwa 18 Zoll tief an den Seiten und 30 Zoll in der Mitte.,"它在两侧深约18英寸,在中间深约30英寸。","It's about 18 inches deep on both sides, about 30 inches deep in the middle.",It is about 18 inches deep on the sides and 30 inches in the middle.
Diffie-Hellman key exchange (D-H) is a cryptographic protocol that allows two parties that have no prior knowledge of each other to jointly establish a shared secret key over an insecure communications channel.,"Diffie-Hellman Key Exchange (D-H) ist ein kryptographisches Protokoll. Es lässt zwei Leute, die sich nicht kennen, einen geheimen Schlüssel über einen nicht sicheren Kommunikationskanal machen und teilen.","Diffie-Hellman Key Exchange(D-H)是一个加密协议,允许事先互不相识的双方在不安全的通信频道上共同建立一个共享的秘密密钥。",Diffie-Hellman Key Exchange (D-H) is an encrypted protocol that allows both parties who have no prior knowledge of each other to jointly build a shared secret key on unsafe communication channels.,Diffie-Hellman Key Exchange (D-H) is a cryptographic protocol. It lets two people who don't know each other make and share a secret key over a non-secure communication channel.
This position in the Federal Government of the United States is analogous to the finance ministers of other nations.,Die Arbeit in der US-Regierung ist ähnlich wie die Finanzminister anderer Länder.,美国联邦政府的这一职位与其他国家的财政部长相似。,This position in the United States federal government is similar to that of finance ministers in other countries.,Work in the U.S. government is similar to that in other countries' finance ministers.
"Towards the end of 1997, each band member chose an individual number as their alias.",Ende 1997 wählten die Bandmitglieder eine individuelle Nummer als ihren Namen.,每个乐队成员在1997年底为别名选择了一个数字。,Each band member selected a number for aliases at the end of 1997.,"At the end of 1997, the band members chose an individual number as their name."
They also use visual signals to communicate with members of the same species.,"Sie benutzen auch Signale, um mit anderen derselben Spezies zu sprechen.",他们使用视觉信号与同一物种的成员交谈。,They use visual signals to talk to members of the same species.,They also use signals to talk to others of the same species.
United States admission day (1889) of North Dakota and South Dakota as 39th and 40th states.,1889 nahmen die Vereinigten Staaten North Dakota und South Dakota als 39. und 40. Staaten an.,美国接纳北达科他州和南达科塔州为1889年第39和第40个州。,The United States admitted North Dakota and South Dakota as the 39th and 40th States in 1889.,In 1889 the United States adopted North Dakota and South Dakota as 39th and 40th states.
"The front decayed and dissipated, leaving behind two areas of low pressure.",Die Front zerfiel und zerfiel. Dies hinterließ zwei Bereiche mit niedrigem Druck.,"前线变得虚弱,离开, 留下两个压力低的地方。","The front line gets weak, leaves out, leaves two low-pressure places.","The front disintegrated and disintegrated, leaving two areas of low pressure."
"157 – 69 and are regarded by some as the cultural ancestors of the Western Turks – the present-day inhabitants of Azerbaijan, Turkey, and Turkmenistan.","Sie sind die kulturellen Vorfahren der Menschen, die derzeit in Aserbaidschan, der Türkei und Turkmenistan leben.","他们有时被视为西方土耳其人的文化祖先,西方土耳其人是阿塞拜疆、土耳其和土库曼斯坦的现今居民。","They are sometimes seen as the cultural ancestors of Western Turks, who are the current inhabitants of Azerbaijan, Turkey and Turkmenistan.","They are the cultural ancestors of the people currently living in Azerbaijan, Turkey and Turkmenistan."
"In 1252 documents refer directly to Vaihingen as a town, established by Count Gottfried von Vaihingen.","In 1252 Dokumenten wird Vaihingen eine Stadt genannt, die von Graf Gottfried von Vaihingen geschaffen wurde.","在1252份文件中,Vaihingen被称为一个城镇,由Gottfried von Vaihingen伯爵创建。","In 1,252 documents, Vaihingen was referred to as a town created by Count Gottfried von Vaihingen.","In 1252 documents, Vaihingen is called a city created by Count Gottfried of Vaihingen."
